id,data_referencia,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado,txt_cnpj_construtora_entidade,txt_nome_construtora_entidade,txt_endereco,txt_cep,year,addr2geocode,city_type,fmtd_addr,lat,lng
0,30/09/2024,110020,Porto Velho ,RO,Norte,2010-04-09,29925581,RESIDENCIAL CIDADE DE TODOS III,CAIXA,FAR,Concluído,240,240.0,0,0,13.830.963,"13.809.147,96",34452706000106.0,COMERCIO ENGENHARIA LTDA,"AV AMAZONAS, N� 9680 - BAIRRO SOCIALISTA",,2010,"RESIDENCIAL CIDADE DE TODOS III, AV AMAZONAS, N� 9680 - BAIRRO SOCIALISTA, Porto Velho , RO",Capital Regional,"Av. Amazonas, 9680 - Nova Porto Velho, Porto Velho - RO, 76820-115, Brazil",-8.751904699999999,-63.82515840000001
1,30/09/2024,110020,Porto Velho ,RO,Norte,2010-04-09,30011639,RESIDENCIAL CIDADE DE TODOS IX,CAIXA,FAR,Concluído,240,240.0,0,0,14.218.052,"14.218.051,93",34452706000106.0,COMERCIO ENGENHARIA LTDA,"RUA OSWALDO RIBEIRO, S/N - SOCIALISTA",,2010,"RESIDENCIAL CIDADE DE TODOS IX, RUA OSWALDO RIBEIRO, S/N - SOCIALISTA, Porto Velho , RO",Capital Regional,"R. Osvaldo Ribeiro - Socialista, Porto Velho - RO, Brazil",-8.7634833,-63.82468340000001
2,30/09/2024,110020,Porto Velho ,RO,Norte,2010-07-09,32680414,RESIDENCIAL CIDADE DE TODOS - LOTE 01,CAIXA,FAR,Concluído,114,114.0,0,0,6.840.691,"6.840.691,6",2364225000152.0,CONSTRUTORA JOAO DE BARRO LTDA,AV AMAZONAS - LOTE 738,,2010,"65WF+WR - Socialista, Porto Velho - RO, Brazil",Capital Regional,"65WF+WR - Socialista, Porto Velho - RO, Brazil",-8.7526875,-63.8254375
3,30/09/2024,110020,Porto Velho ,RO,Norte,2010-07-09,32703630,RESIDENCIAL CIDADE DE TODOS - LOTE 02,CAIXA,FAR,Concluído,82,82.0,0,0,3.421.062,"3.421.062,22",2364225000152.0,CONSTRUTORA JOAO DE BARRO LTDA,"RUA MANE GARRICHA, LOTE 393",,2010,"65WF+WR - Socialista, Porto Velho - RO, Brazil",Capital Regional,"65WF+WR - Socialista, Porto Velho - RO, Brazil",-8.7526875,-63.8254375
4,30/09/2024,110020,Porto Velho ,RO,Norte,2013-06-25,40267126,RESIDENCIAL PORTO BELLO II,CAIXA,FAR,Concluído,272,272.0,0,0,18.161.056,"18.161.056,68",77578623000170.0,CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.,"RUA DE ACESSO,(ATUAL JOSE FAID), S/N BAIRRO JD SANTANA",,2013,"RESIDENCIAL PORTO BELLO II, RUA DE ACESSO,(ATUAL JOSE FAID), S/N BAIRRO JD SANTANA, Porto Velho , RO",Capital Regional,"Francisco Said, 1375 - Jardim Santana, Porto Velho - RO, 76814, Brazil",-8.761565199999998,-63.8182544
5,30/09/2024,110020,Porto Velho ,RO,Norte,2013-06-25,40267344,RESIDENCIAL PORTO BELO I,CAIXA,FAR,Concluído,272,272.0,0,0,18.185.358,"17.921.671,09",673788000105.0,R.D.ENGENHARIA E COMERCIO LTDA.,"RUA IVAN CURI, S/N - BAIRRO SOCIALISTA",,2013,"65QJ+GJV - Porto Velho, State of Rondônia, Brazil",Capital Regional,"65QJ+GJV - Porto Velho, State of Rondônia, Brazil",-8.7611375,-63.8184531
7,30/09/2024,110020,Porto Velho ,RO,Norte,2013-06-25,40267564,RESIDENCIAL PORTO BELLO III,CAIXA,FAR,Concluído,272,272.0,0,0,18.224.000,18.224.000,77578623000170.0,CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.,"RUA DE ACESSO,(ATUAL JOSE FAID) BAIRRO JARDIM SANTANA",,2013,"RESIDENCIAL PORTO BELLO III, RUA DE ACESSO,(ATUAL JOSE FAID) BAIRRO JARDIM SANTANA, Porto Velho , RO",Capital Regional,"Francisco Said, 1375 - Jardim Santana, Porto Velho - RO, 76814, Brazil",-8.761565199999998,-63.8182544
8,30/09/2024,110020,Porto Velho ,RO,Norte,2013-06-25,40272237,RESIDENCIAL PORTO BELLO IV,CAIXA,FAR,Concluído,272,272.0,0,0,18.043.186,"18.043.186,04",77578623000170.0,CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.,"RUA DE ACESSO,(ATUAL JOSE JAID), S/N BAIRRO JD SANTANA",,2013,"RESIDENCIAL PORTO BELLO IV, RUA DE ACESSO,(ATUAL JOSE JAID), S/N BAIRRO JD SANTANA, Porto Velho , RO",Capital Regional,"Francisco Said, 1375 - Jardim Santana, Porto Velho - RO, 76814, Brazil",-8.761565199999998,-63.8182544
9,30/09/2024,110020,Porto Velho ,RO,Norte,2013-06-25,40272789,RESIDENCIAL PORTO MADERO I,CAIXA,FAR,Concluído,304,304.0,0,0,20.045.632,"20.045.631,12",77578623000170.0,CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.,"RUA HUMAITA, S/N - BAIRRO SOCIALISTA",,2013,"RESIDENCIAL PORTO MADERO I, RUA HUMAITA, S/N - BAIRRO SOCIALISTA, Porto Velho , RO",Capital Regional,"R. Humaitá - Socialista, Porto Velho - RO, 76829-021, Brazil",-8.7484731,-63.8285772
12,30/09/2024,110020,Porto Velho ,RO,Norte,2013-06-25,40273367,RESIDENCIAL PORTO MADERO III,CAIXA,FAR,Concluído,304,304.0,0,0,20.010.476,"20.010.476,58",77578623000170.0,CASAALTA CONSTRUCOES E EMPREENDIMENTO LTDA.,"RUA HUMAITA, S/N - BAIRRO SOCIALISTA",,2013,"RESIDENCIAL PORTO MADERO III, RUA HUMAITA, S/N - BAIRRO SOCIALISTA, Porto Velho , RO",Capital Regional,"R. Humaitá, 5551 - Socialista, Porto Velho - RO, 76823-016, Brazil",-8.7496244,-63.8284348
